Nombre;Dirección;Categoría;Teléfono;Emails;Sitio web;Estrellas;Comentarios;Reputación;Confianza;Contacto;Calidad;Utilidad
Matafuegos Leo;Av. Lafuente 1191, C1406EUA Cdad. Autónoma de Buenos Aires;Asesor de protección contra incendios;011 2130-5969;;;4.3;213;4,3;Alto;Bajo;Durmiente;Promisoria
ACCESORIOS JORGE;DLX, Av. Hipólito Yrigoyen 1060, B1708 Morón, Provincia de Buenos Aires;Auto accessories wholesaler;011 4696-4031;accesoriosjorge4x4@hotmail.com;https://www.accesoriosjorge.com.ar/;4.5;1313;4,49;Alto;Alto;Estrella;Estratégica
Accesorios del automor bruno;MAC, Av. Juan Bautista Lasalle 4089, B1759 González Catán, Provincia de Buenos Aires;Auto accessories wholesaler;011 5833-4754;;;0.0;0;4,28;Bajo;Bajo;Frío;Potencial
DARKNESS;AAC, Av. 101 Dr. Ricardo Balbín 1633, B1650 Villa Lynch, Provincia de Buenos Aires;Auto accessories wholesaler;011 4753-2171;;;4.8;22;4,44;Medio;Bajo;Exploratorio;Promisoria
Station 999;Warnes 999, C1414 Cdad. Autónoma de Buenos Aires;Automoción;011 4858-0222;station999@hotmail.com;https://www.station999.com.ar/;4.3;109;4,29;Alto;Alto;Estrella;Estratégica
Teci;Humberto 1º 2352, C1229 AAL, Cdad. Autónoma de Buenos Aires;Automoción;011 4941-6998;;;4.8;11;4,38;Medio;Bajo;Exploratorio;Promisoria
River Lugano;Oliden 4560, C1439 Cdad. Autónoma de Buenos Aires;Centro comercial;011 3380-7901;;http://www.riverlugano.com.ar/;4.7;71;4,53;Alto;Medio;Potencial;Estratégica
cira and service srl;Adolfo Alsina 711, C1087 AAK, Cdad. Autónoma de Buenos Aires;Centro comercial;;;http://cirasrl.wixsite.com/eaton;5.0;5;4,35;Bajo;Bajo;Frío;Potencial
Distribuidora Bauce;Av. Monseñor Bufano 3182, B1754AHE San Justo, Provincia de Buenos Aires;Centro comercial;011 6413-9014;;;4.7;25;4,42;Medio;Bajo;Exploratorio;Promisoria
Outlet Palermo;Av. Juan Bautista Justo 50, C1425 Cdad. Autónoma de Buenos Aires;Centro comercial;;;https://www.distritoarcos.com/;4.4;3740;4,4;Alto;Bajo;Durmiente;Promisoria
Car House;Av. Dr. Ricardo Balbín 3901, B1663 NEI, Provincia de Buenos Aires;Cerrajero;011 6092-7898;;;4.8;112;4,64;Alto;Bajo;Durmiente;Promisoria
Flux Solutions;Julio Argentino Roca 3538, B1604 Florida Oeste, Provincia de Buenos Aires;Comercio;011 3153-0330;;https://www.fluxsolutions.com.ar/;5.0;83;4,73;Alto;Medio;Potencial;Estratégica
TERNNOVA;Moreto 588, C1407 Cdad. Autónoma de Buenos Aires;Comercio;011 6114-7858;ternnova.arg@gmail.com;https://ternnova.mercadoshops.com.ar/;4.9;298;4,81;Alto;Alto;Estrella;Estratégica
Hierros Torrent S.A.;3015, AAD, Av. Triunvirato 3015, C1427 Cdad. Autónoma de Buenos Aires;Comercio;011 4555-6078;info@hierrostorrent.com.ar;https://www.hierrostorrent.com.ar/;4.2;1282;4,2;Alto;Alto;Estrella;Estratégica
Garmin Store Nuñez;Av. Guillermo Udaondo 1244, C1428BJQ Cdad. Autónoma de Buenos Aires;Comercio;0810-345-4477;;https://garmin.com.ar/;4.5;1153;4,49;Alto;Medio;Potencial;Estratégica
Buenos Aires Import;Av. del Libertador 6299, C1428ARF C1428ARF, Cdad. Autónoma de Buenos Aires;Comercio;0800-345-2845;info@buenosairesimport.com;http://buenosairesimport.com/;4.9;1635;4,88;Alto;Alto;Estrella;Estratégica
Electro Maiorana;Av. Juan Bautista Justo 5107, C1416DKF Cdad. Autónoma de Buenos Aires;Comercio;011 4583-7072;electro_maiorana@yahoo.com.ar;http://www.electromaiorana.com.ar/;3.9;30;4,14;Medio;Alto;Activo;Estratégica
Jass Ventas;Av. Rivadavia 12024, B1702CHQ Buenos Aires, Provincia de Buenos Aires;Comercio;011 6848-3038;jass.atencion@gmail.com;https://www.jassventas.com.ar/;4.4;341;4,39;Alto;Alto;Estrella;Estratégica
GoPro Store Argentina - Outtec;Av. Sta. Fe 1825 27, C1123 AAA, Cdad. Autónoma de Buenos Aires;Comercio;4813-3643;;https://outtec.com.ar/;4.6;943;4,58;Alto;Medio;Potencial;Estratégica
ACCESORIOS DURAGOMA;Warnes 957, C1414AAJ Cdad. Autónoma de Buenos Aires;Comercio;011 4855-1615;ml.duragoma@gmail.com;http://www.duragoma.com.ar/;4.3;411;4,3;Alto;Alto;Estrella;Estratégica
Original's Cars;Av. 844 766, B1881 Quilmes, Provincia de Buenos Aires;Comercio;011 4280-4574;;https://instagram.com/originals.car?igshid=YmMyMTA2M2Y=;4.8;76;4,59;Alto;Medio;Potencial;Estratégica
Quantum Kosmética;Av. Callao 1046 2º A, C1023 Cdad. Autónoma de Buenos Aires;Comercio;011 15-6717-4667;clientes@quantum.ar,sucursal.lujan@quantum.ar;http://www.quantumbelleza.com.ar/;4.7;342;4,65;Alto;Alto;Estrella;Estratégica
Boutique General Autopartes S.R.L;B1640CTN, Av. Sir Alexander Fleming 2199, B1640 Martínez, Provincia de Buenos Aires;Comercio;011 4717-0166;;https://www.laboutique.com.ar/;4.6;77;4,48;Alto;Medio;Potencial;Estratégica
GeneracionUno;Av. Entre Ríos 166 10º A, C1079 Cdad. Autónoma de Buenos Aires;Comercio;011 6146-6382;;http://tienda.generacionunoshop.com.ar/;4.2;306;4,21;Alto;Medio;Potencial;Estratégica
Electricidad del Automovil Pilar LA ALEMANA;3 de Febrero 515, B1629 Pilar, Provincia de Buenos Aires;Comercio;011 15-5493-1582;martinaalonso.s@gmail.com;http://electricidadpilar.empretienda.com.ar/;4.6;249;4,55;Alto;Alto;Estrella;Estratégica
Americar`s;Ciudad Autónoma de Buenos Aires AR, Av. San Juan 2094, C1232 AAP, Cdad. Autónoma de Buenos Aires;Comercio;011 7079-9999;info@americars.com.ar;http://www.americars.com.ar/;4.3;1122;4,3;Alto;Alto;Estrella;Estratégica
Cupulas Damay;Av. Gral. Francisco Fernández de la Cruz 3634, C1437 Cdad. Autónoma de Buenos Aires;Comercio;011 4554-3594;;https://cupulasdamay.com/;4.8;105;4,63;Alto;Medio;Potencial;Estratégica
Golosinas Cosquín;Cosquín 4858, C1439 Cdad. Autónoma de Buenos Aires;Comercio;011 3073-7117;;https://golosinascosquin.com.ar/;4.3;420;4,3;Alto;Medio;Potencial;Estratégica
DA - Diseño En Accesorios;Av. Chiclana 3833, C1262 AAC, Cdad. Autónoma de Buenos Aires;Comercio;011 4923-2019;ventas@dagroup.com.ar,info@dagroup.com.ar;http://www.dagroup.com.ar/;4.5;26;4,36;Medio;Alto;Activo;Estratégica
Casa Gary;Av. Boedo 1208, C1239 Cdad. Autónoma de Buenos Aires;Comercio;011 4932-8613;;https://www.instagram.com/casa.gary/;4.5;136;4,44;Alto;Medio;Potencial;Estratégica
Cotillon Flores;Av. Avellaneda 2822, C1406 Cdad. Autónoma de Buenos Aires;Comercio;011 2161-5555;;https://enviatupedido.com/cotillonflores;4.2;434;4,21;Alto;Medio;Potencial;Estratégica
Sologoma;Av. Boedo 1900, C1239AAV Cdad. Autónoma de Buenos Aires;Comercio;011 4923-9307;info@sologoma.com.ar;http://www.sologoma.com.ar/;4.3;159;4,3;Alto;Alto;Estrella;Estratégica
Accesorios Caseros;Av. Caseros 4029, C1263 Cdad. Autónoma de Buenos Aires;Comercio;011 4923-4325;;;0.0;0;4,28;Bajo;Bajo;Frío;Potencial
Multi Accesorios 1;Conesa 2697, C1428 Cdad. Autónoma de Buenos Aires;Comercio;011 3643-6776;;;4.8;8;4,35;Bajo;Bajo;Frío;Potencial
Dehnos Sa;Av. Álvarez Jonte 1655, C1416EXB Cdad. Autónoma de Buenos Aires;Comercio;011 4585-4300;dehnospaternal@gmail.com;http://paternalstore.com/;4.4;8;4,3;Bajo;Alto;Oportunidad;Potencial
C.o. Accesorios;Warnes 728, C1414AAU Cdad. Autónoma de Buenos Aires;Comercio;011 4854-5913;;;4.7;15;4,38;Medio;Bajo;Exploratorio;Promisoria
Accesorios Quiroga;Darwin 55, C1414CUA Cdad. Autónoma de Buenos Aires;Comercio;4847-9898;;;4.5;34;4,37;Medio;Bajo;Exploratorio;Promisoria
Autopartes OHM;Tréveris 2520, C1431 Cdad. Autónoma de Buenos Aires;Comercio;011 2386-9202;;https://www.autopartesohm.com.ar/;4.2;23;4,26;Medio;Medio;Regular;Promisoria
Accesorios Jr;Serrano 15, C1414DEA Cdad. Autónoma de Buenos Aires;Comercio;011 3978-7743;;https://jraccesorios.empretienda.com.ar/;4.5;15;4,33;Medio;Medio;Regular;Promisoria
NAZCA Y AV AVELLANEDA;Av. Avellaneda 2912, C1406FZO C1406FZO, Cdad. Autónoma de Buenos Aires;Comercio;011 6358-9034;;;4.3;1335;4,3;Alto;Bajo;Durmiente;Promisoria
NB Repuestos;Av. Hipólito Yrigoyen 15353, B1852EMG Burzaco, Provincia de Buenos Aires;Comercio;011 4238-6102;;;4.6;68;4,47;Alto;Bajo;Durmiente;Promisoria
Puma Outlet Barracas;C1289AAP, California 2094, C1289AAP Cdad. Autónoma de Buenos Aires;Comercio;011 4301-7972;;;4.2;3221;4,2;Alto;Bajo;Durmiente;Promisoria
NPcars Distribuidora Automotive;Del Barco Centenera 1094, C1424 Cdad. Autónoma de Buenos Aires;Comercio;011 3622-8678;;;4.8;48;4,54;Medio;Bajo;Exploratorio;Promisoria
Sponsor Pop;Av. Larrazábal 3843, C1439 Cdad. Autónoma de Buenos Aires;Comercio;011 4602-8394;;http://www.sponsorpop.com/;4.4;32;4,33;Medio;Medio;Regular;Promisoria
Lubricentro Colon;Av. Calle Colón 280, B6740 Chacabuco, Provincia de Buenos Aires;Comercio;02352 42-6459;;;4.6;33;4,41;Medio;Bajo;Exploratorio;Promisoria
Seven Electronics Primera Junta;Av. Rivadavia 5412, C1424 Cdad. Autónoma de Buenos Aires;Comercio;011 4584-9645;;http://www.sevenelectronics.com.ar/;4.0;56;4,13;Medio;Medio;Regular;Promisoria
Accesorios para celular, bazar, juguetes, herramientas, regalaría, poli rubro, Simran;Av. Rivadavia 7417, C1406 Cdad. Autónoma de Buenos Aires;Comercio;011 7140-6613;;;5.0;10;4,4;Medio;Bajo;Exploratorio;Promisoria
ACCESORIOS 3A. Retiros previa coordinación;Av. Francisco Beiró 5015, C1419 Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires;Comercio;011 15-3306-6771;;http://www.accesorios3a.com.ar/;4.5;13;4,33;Medio;Medio;Regular;Promisoria
Pucará Car Audio;Av. Calchaquí 2311, B1888 Florencio Varela, Provincia de Buenos Aires;Comercio;011 6189-7397;;;4.4;37;4,33;Medio;Bajo;Exploratorio;Promisoria
Boxon Alarmas - Audio Y Polarizados;Av. Savio 646, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires;Comercio;0336 441-5659;;https://instagram.com/boxon.autoradio?utm_medium=copy_link;4.6;29;4,4;Medio;Medio;Regular;Promisoria
Accesorios Florida Venta-Colocacion-Reparacion;Gral. Juan Lavalle 1659, B1602DYE Florida, Provincia de Buenos Aires;Comercio;011 5478-2477;;;4.7;61;4,51;Alto;Bajo;Durmiente;Promisoria
Grupo Jack;Juana Manso 1314, C1107 Cdad. Autónoma de Buenos Aires;Compraventa de automóviles;011 6448-7030;;http://www.grupojack.com/;3.1;91;3,52;Bajo;Medio;En Proceso;Potencial
Auto Dante;Juana Manso 835, C1107 Cdad. Autónoma de Buenos Aires;Compraventa de automóviles;011 6842-0200;;http://autodante.com.ar/;3.8;296;3,87;Medio;Medio;Regular;Promisoria
Puerto Madero Automóviles;Olga Cossettini 1631 piso 1 departamento 103, C1107CEM Cdad. Autónoma de Buenos Aires;Compraventa de automóviles;011 15-3457-2200;;;4.8;52;4,55;Alto;Bajo;Durmiente;Promisoria
JAPAN MOTORS;Av Warnes 1155, Cnel. Antonio Susini 2213, C1414 Cdad. Autónoma de Buenos Aires;Distribuidor de motores diésel;011 4854-3741;;;4.5;48;4,39;Medio;Bajo;Exploratorio;Promisoria
CB ACCESORIOS PARA LA INDUSTRIA SRL;Drumond 2381, C1437DGE Cdad. Autónoma de Buenos Aires;Empresa de suministros industriales;011 4922-8869;ventas@cbaccesorios.com.ar;http://www.cbaccesorios.com.ar/;4.6;25;4,39;Medio;Alto;Activo;Estratégica
Rulemanes - BG Rodamientos;Av. de los Corrales 6703, C1440BBD Cdad. Autónoma de Buenos Aires;Empresa de suministros industriales;011 4687-4215;;;4.7;130;4,58;Alto;Bajo;Durmiente;Promisoria
ONYX ARGENTINA;C1419GFE, Gabriela Mistral 2331, Buenos Aires;Empresa de suministros industriales;011 4574-3207;;http://www.onyx.com.ar/;4.1;10;4,25;Medio;Medio;Regular;Promisoria
Silvaflex;B1752DTM, Australia 685, B1752DTM Lomas del Mirador, Provincia de Buenos Aires;Fábrica;011 4484-8233;info@silvaflex.com,caba@silvaflex.com;http://www.silvaflex.com/;4.5;68;4,41;Alto;Alto;Estrella;Estratégica
Filtros Rosicler | Medios Filtrantes SRL;Av. Castañares 5831, C1439 Cdad. Autónoma de Buenos Aires;Fábrica;011 4601-2730;info@rosicler.com;https://www.rosicler.com.ar/;4.7;34;4,45;Medio;Alto;Activo;Estratégica
Infinita Moda;Helguera 526, C1406 Cdad. Autónoma de Buenos Aires;Fábrica;011 15-5347-7095;ventasweb@infinitamoda.com.ar,rrhh@infinitabijou.com.ar;http://www.infinita.com.ar/;4.5;76;4,41;Alto;Alto;Estrella;Estratégica
SP ACCESORIOS - FABRICA Y DISTRIBUCIÓN DE ACCESORIOS PARA AUTOMOTOR;Cno. Gral. Belgrano 10500, B1876 Bernal Oeste, Provincia de Buenos Aires;Fábrica;011 2380-2824;;;4.0;4;4,26;Bajo;Bajo;Frío;Potencial
Patagonia Flooring;C1440BFU, Francisco Bilbao 5901-5999, C1440BFU Cdad. Autónoma de Buenos Aires;Fábrica;011 3220-2439;;;3.6;28;4,04;Bajo;Bajo;Frío;Potencial
Autopartes Devoto;Cervantes 2476, C1417 Cdad. Autónoma de Buenos Aires;Fábrica;011 4639-8299;;http://www.autopartesdevoto.com.ar/;5.0;1;4,3;Bajo;Medio;En Proceso;Potencial
SOL Accesorios (FABRICA DE PORTAEQUIPAJES);Colón 3933, B1752 Lomas del Mirador, Provincia de Buenos Aires;Fábrica;011 15-2389-7827;;;4.5;17;4,34;Medio;Bajo;Exploratorio;Promisoria
Reposol;DGE, Amenedo 260, B1846 Adrogué, Provincia de Buenos Aires;Fábrica;011 6818-4019;;http://www.reposol.com.ar/;4.2;17;4,26;Medio;Medio;Regular;Promisoria
CLARK ARGENTINA;Nogoyá 5959, C1408 Cdad. Autónoma de Buenos Aires;Fábrica;011 4643-2200;;https://www.clark.com.ar/;3.9;77;4,05;Medio;Medio;Regular;Promisoria
PERFIL-CAR;Av. Calchaquí 3048, B1879 Quilmes Oeste, Provincia de Buenos Aires;Fábrica;011 4250-0461;;;4.9;31;4,52;Medio;Bajo;Exploratorio;Promisoria
Sintermetal S.A.I.y C.;Zuviría 4839, C1439BDK Cdad. Autónoma de Buenos Aires;Fábrica;011 4638-4109;;http://www.sintermetal.info/;4.5;20;4,34;Medio;Medio;Regular;Promisoria
Stamparin;Guaminí 2372, C1440EST Cdad. Autónoma de Buenos Aires;Fábrica;011 6085-1651;;http://www.stamparin.com.ar/;4.8;16;4,41;Medio;Medio;Regular;Promisoria
Expoyer S.A.;W. de Tata 5401, B1678 Caseros, Provincia de Buenos Aires;Fabricante de repuestos para automóviles;011 7090-2705;info@expoyer.com.ar;http://www.expoyerweb.com.ar/;4.2;186;4,22;Alto;Alto;Estrella;Estratégica
JUNTAS PAMPA;Matanza 3341, C1437AXI Cdad. Autónoma de Buenos Aires;Fabricante de repuestos para automóviles;011 15-6134-3647;;http://www.juntaspampa.com.ar/;4.6;17;4,36;Medio;Medio;Regular;Promisoria
Rey Goma SRL;Paracas 75, C1275 Cdad. Autónoma de Buenos Aires;Fabricante de repuestos para automóviles;011 4306-5423;;https://reygoma.com.ar/;4.1;21;4,23;Medio;Medio;Regular;Promisoria
MONSA SRL;Av. Castañares 6140, C1439 Cdad. Autónoma de Buenos Aires;Importador;011 4602-1555;;http://www.monsa-srl.com.ar/;4.2;130;4,22;Alto;Medio;Potencial;Estratégica
BazarLatam;Paz Soldán 4975, C1427DSE Cdad. Autónoma de Buenos Aires;Importador;011 3036-4284;ventas@bazarlatam.com;http://www.bazarlatam.com/;4.8;54;4,55;Alto;Alto;Estrella;Estratégica
Continuar Electronica srl;Av. S. Martín 5768, C1419IBN Cdad. Autónoma de Buenos Aires;Importador;011 4504-6444;continuar@continuarnet.com.ar;http://www.continuarnet.com/;3.6;15;4,13;Bajo;Alto;Oportunidad;Potencial
Supermercado Mayorista Masivos;C. Jose E. Rodo 6142, C1440AKF Cdad. Autónoma de Buenos Aires;Mayorista;011 4686-6363;ventas@masivos.com,acuniadaniel@gmail.com;http://www.masivos.com/;4.4;951;4,39;Alto;Alto;Estrella;Estratégica
Bella Distribuidora Mayorista;C1419CTA Ciudad Autónoma de Buenos Aires AR, Helguera 3545 PB, C1419 CTA;Mayorista;011 2543-8333;belladistribuidoramayorista@gmail.com;https://belladistribuidoramayorista.com.ar/;4.8;22;4,44;Medio;Alto;Activo;Estratégica
Distribuidora Alpes;Carlos Antonio López 2341, C1419 Cdad. Autónoma de Buenos Aires;Mayorista;011 4571-5277;pablo@distribuidoraalpes.com.ar;https://www.distribuidoraalpes.com.ar/;4.6;140;4,52;Alto;Alto;Estrella;Estratégica
Pañalera Norte;Tronador 58, C1427 Cdad. Autónoma de Buenos Aires;Mayorista;011 3700-0400;atencionalcliente@pnorte.com.ar,ventas@pnorte.com.ar;https://p-norte.com.ar/empresa/;4.4;195;4,38;Alto;Alto;Estrella;Estratégica
Enchúlate Venta por Mayor Marroquineria Mates Accesorios de Moda Importador;Tte. Gral. Juan Domingo Perón 2687, C1031 Once, Cdad. Autónoma de Buenos Aires;Mayorista;011 6654-0378;;https://enchulate.com.ar/;4.9;302;4,81;Alto;Medio;Potencial;Estratégica
Neumasur S.A;Benito Quinquela Martín 1160, C1167 Cdad. Autónoma de Buenos Aires;Mayorista;011 4016-0400;neumasur@neumasur.com.ar;http://neumasur.com.ar/;4.4;470;4,39;Alto;Alto;Estrella;Estratégica
Somostec | Importadores Mayoristas Argentina;Esteban de Luca 1569, C1246 Cdad. Autónoma de Buenos Aires;Mayorista;011 15-6640-0732;info@somostec.com.ar;http://www.somostec.com.ar/;4.6;111;4,5;Alto;Alto;Estrella;Estratégica
Air Computers;Av. Piedra Buena 3590, C1439 Cdad. Autónoma de Buenos Aires;Mayorista;011 4887-9300;;http://www.air-computers.com/;4.3;226;4,3;Alto;Medio;Potencial;Estratégica
Casa Natalia;Av. Boedo 1258, C1239 Cdad. Autónoma de Buenos Aires;Mayorista;011 4957-0941;info@casanatalia.com.ar;http://www.casanatalia.com.ar/;4.5;337;4,47;Alto;Alto;Estrella;Estratégica
Casa Ianoda – Desde 1986 [Sucursal Central];Av. Boedo 1392, C1239 Cdad. Autónoma de Buenos Aires;Mayorista;011 4921-7132;;http://www.casaianoda.com.ar/;4.4;246;4,38;Alto;Medio;Potencial;Estratégica
Gravent;Cosquín 4259, C1439 Cdad. Autónoma de Buenos Aires;Mayorista;011 4641-2300;;;3.5;49;3,9;Bajo;Bajo;Frío;Potencial
Districolor Argentina;Av. Pavón 4232, C1253 Cdad. Autónoma de Buenos Aires;Mayorista;011 5730-4772;ventas@districolor.com.ar;http://www.linktr.ee/districolorargentina;4.8;8;4,35;Bajo;Alto;Oportunidad;Potencial
Casa Emilio;Av. Boedo 1218, C1239 AAP, Cdad. Autónoma de Buenos Aires;Mayorista;011 4932-7842;herrajescasaemilio@hotmail.com;http://casaemilio.com.ar/;4.7;9;4,35;Bajo;Alto;Oportunidad;Potencial
Tassano Estuches;Martiniano Leguizamón 338, C1408GWH C1408GWH, Cdad. Autónoma de Buenos Aires;Mayorista;011 6732-4995;;http://www.tassanoestuches.com.ar/;3.4;11;4,12;Bajo;Medio;En Proceso;Potencial
Accesorios Johana Bijouterie Ventas Por Mayor;CID, Cnel. Ramón L. Falcón 3124, B1702 Ciudadela, Cdad. Autónoma de Buenos Aires;Mayorista;011 4657-0247;;https://www.facebook.com/Johanabijouciudadela/;5.0;3;4,32;Bajo;Medio;En Proceso;Potencial
Valery Accesorios (Sucursal Avellaneda 2778);Av. Avellaneda 2778, C1406AMF Cdad. Autónoma de Buenos Aires;Mayorista;011 4611-6248;;http://www.valeryaccesorios.com.ar/;3.1;13;4,04;Bajo;Medio;En Proceso;Potencial
DANLAY mayorista polirubro;Bartolomé Mitre 2309, C1039AAK Cdad. Autónoma de Buenos Aires;Mayorista;011 3041-4570;;http://www.danlay.com.ar/;5.0;1;4,3;Bajo;Medio;En Proceso;Potencial
// DISTRIBUIDOR VENTA MAYORISTA // BULONES EFEGE- Bulones - Tuercas - Tornillos - Varillas Roscadas - Arandelas;Manuel Ricardo Trelles 2480, C1416BSB Cdad. Autónoma de Buenos Aires;Mayorista;011 6970-0036;;https://bulonesefege2.mitiendanube.com/;3.3;4;4,21;Bajo;Medio;En Proceso;Potencial
ZETTA BEBIDAS - Mayorista Y Minorista de Bebidas;A, Warnes 1844, Buenos Aires;Mayorista;;;http://www.zettabebidas.com.ar/;2.6;32;3,63;Bajo;Bajo;Frío;Potencial
Varú - Mayorista de golosinas, cigarrillos y artículos varios.;Bucarelli 2657, C1431 Cdad. Autónoma de Buenos Aires;Mayorista;011 6455-3717;;;2.7;9;4,04;Bajo;Bajo;Frío;Potencial
El proveedor colegiales;Av. Federico Lacroze 2896, C1426 Cdad. Autónoma de Buenos Aires;Mayorista;011 4870-1363;;;2.6;15;3,89;Bajo;Bajo;Frío;Potencial
Jazmin Bijou;Bartolomé Mitre 2708, C1039 Cdad. Autónoma de Buenos Aires;Mayorista;011 15-5656-0311;;http://www.jazminbijou.com.ar/;4.5;4;4,3;Bajo;Medio;En Proceso;Potencial
PROFILM - distribuidor mayorista láminas de seguridad, polarizados y vinilos wrap;Warnes 1180, C1414 Cdad. Autónoma de Buenos Aires;Mayorista;011 15-6021-0221;;https://profilmlaminas.com/;4.8;4;4,32;Bajo;Medio;En Proceso;Potencial
